iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	43	18	20	20	-0.257	-0.257	-0.257	-0.257	-0.257	-0.257	-0.257	-0.257				
2004	43	18	30	20	-0.246	-0.246	-0.246	-0.246	-0.246	-0.246	-0.246	-0.246				
2004	43	18	40	20	-0.236	-0.236	-0.236	-0.236	-0.236	-0.236	-0.236	-0.236				
2004	43	18	50	20	-0.228	-0.228	-0.228	-0.228	-0.228	-0.228	-0.228	-0.228				
2004	43	19	0	20	-0.219	-0.219	-0.219	-0.219	-0.219	-0.219	-0.219	-0.219				
2004	43	19	10	20	-0.211	-0.211	-0.211	-0.211	-0.211	-0.211	-0.211	-0.211				
2004	43	19	20	20	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207				
2004	43	19	30	20	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196				
2004	43	19	40	20	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196	-0.196				
2004	43	19	50	20	-0.19	-0.19	-0.19	-0.19	-0.19	-0.19	-0.19	-0.19				
2004	43	20	0	20	-0.186	-0.186	-0.186	-0.186	-0.186	-0.186	-0.186	-0.186				
2004	43	20	10	20	-0.178	-0.178	-0.178	-0.178	-0.178	-0.178	-0.178	-0.178				
2004	43	20	20	20	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174	-0.174				
2004	43	20	30	20	-0.168	-0.168	-0.168	-0.168	-0.168	-0.168	-0.168	-0.168				
2004	43	20	40	20	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166				
2004	43	20	50	20	-0.156	-0.156	-0.156	-0.156	-0.156	-0.156	-0.156	-0.156				
2004	43	21	0	20	-0.155	-0.155	-0.155	-0.155	-0.155	-0.155	-0.155	-0.155				
2004	43	21	10	20	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147	-0.147				
2004	43	21	20	20	-0.145	-0.145	-0.145	-0.145	-0.145	-0.145	-0.145	-0.145				
2004	43	21	30	20	-0.139	-0.139	-0.139	-0.139	-0.139	-0.139	-0.139	-0.139				
2004	43	21	40	20	-0.133	-0.133	-0.133	-0.133	-0.133	-0.133	-0.133	-0.133				
2004	43	21	50	20	-0.13	-0.13	-0.13	-0.13	-0.13	-0.13	-0.13	-0.13				
2004	43	22	0	20	-0.123	-0.123	-0.123	-0.123	-0.123	-0.123	-0.123	-0.123				
2004	43	22	10	20	-0.111	-0.111	-0.111	-0.111	-0.111	-0.111	-0.111	-0.111				
2004	43	22	20	20	-0.102	-0.102	-0.102	-0.102	-0.102	-0.102	-0.102	-0.102				
2004	43	22	30	20	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092	-0.092				
2004	43	22	40	20	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075	-0.075				
2004	43	22	50	20	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055				
2004	43	23	0	20	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041				
2004	43	23	10	20	-0.026	-0.026	-0.026	-0.026	-0.026	-0.026	-0.026	-0.026				
2004	43	23	20	20	-0.016	-0.016	-0.016	-0.016	-0.016	-0.016	-0.016	-0.016				
2004	43	23	30	20	0	0	0	0	0	0	0	0				
2004	43	23	40	20	0.006	0.006	0.006	0.006	0.006	0.006	0.006	0.006				
2004	43	23	50	20	0.055	0.055	0.055	0.055	0.055	0.055	0.055	0.055				
2004	44	0	0	20	0.089	0.089	0.089	0.089	0.089	0.089	0.089	0.089				
2004	44	0	10	20	0.092	0.092	0.092	0.092	0.092	0.092	0.092	0.092				
2004	44	0	20	20	0.093	0.093	0.093	0.093	0.093	0.093	0.093	0.093				
2004	44	0	30	20	0.099	0.099	0.099	0.099	0.099	0.099	0.099	0.099				
2004	44	0	40	20	0.112	0.112	0.112	0.112	0.112	0.112	0.112	0.112				
2004	44	0	50	20	0.131	0.131	0.131	0.131	0.131	0.131	0.131	0.131				
2004	44	1	0	20	0.174	0.174	0.174	0.174	0.174	0.174	0.174	0.174				
2004	44	1	10	20	0.178	0.178	0.178	0.178	0.178	0.178	0.178	0.178				
2004	44	1	20	20	0.177	0.177	0.177	0.177	0.177	0.177	0.177	0.177				
2004	44	1	30	20	0.195	0.195	0.195	0.195	0.195	0.195	0.195	0.195				
2004	44	1	40	20	0.178	0.178	0.178	0.178	0.178	0.178	0.178	0.178				
2004	44	1	50	20	0.164	0.164	0.164	0.164	0.164	0.164	0.164	0.164				
2004	44	2	0	20	0.157	0.157	0.157	0.157	0.157	0.157	0.157	0.157				
2004	44	2	10	20	0.158	0.158	0.158	0.158	0.158	0.158	0.158	0.158				
2004	44	2	20	20	0.165	0.165	0.165	0.165	0.165	0.165	0.165	0.165				
2004	44	2	30	20	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16				
2004	44	2	40	20	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168				
2004	44	2	50	20	0.169	0.169	0.169	0.169	0.169	0.169	0.169	0.169				
2004	44	3	0	20	0.162	0.162	0.162	0.162	0.162	0.162	0.162	0.162				
2004	44	3	10	20	0.146	0.146	0.146	0.146	0.146	0.146	0.146	0.146				
2004	44	3	20	20	0.135	0.135	0.135	0.135	0.135	0.135	0.135	0.135				
2004	44	3	30	20	0.128	0.128	0.128	0.128	0.128	0.128	0.128	0.128				
2004	44	3	40	20	0.118	0.118	0.118	0.118	0.118	0.118	0.118	0.118				
2004	44	3	50	20	0.116	0.116	0.116	0.116	0.116	0.116	0.116	0.116				
2004	44	4	0	20	0.116	0.116	0.116	0.116	0.116	0.116	0.116	0.116				
2004	44	4	10	20	0.117	0.117	0.117	0.117	0.117	0.117	0.117	0.117				
2004	44	4	20	20	0.122	0.122	0.122	0.122	0.122	0.122	0.122	0.122				
2004	44	4	30	20	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126				
2004	44	4	40	20	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12				
2004	44	4	50	20	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126				
2004	44	5	0	20	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12				
2004	44	5	10	20	0.119	0.119	0.119	0.119	0.119	0.119	0.119	0.119				
2004	44	5	20	20	0.11	0.11	0.11	0.11	0.11	0.11	0.11	0.11				
2004	44	5	30	20	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0.105				
2004	44	5	40	20	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095				
2004	44	5	50	20	0.094	0.094	0.094	0.094	0.094	0.094	0.094	0.094				
2004	44	6	0	20	0.094	0.094	0.094	0.094	0.094	0.094	0.094	0.094				
2004	44	6	10	20	0.097	0.097	0.097	0.097	0.097	0.097	0.097	0.097				
2004	44	6	20	20	0.103	0.103	0.103	0.103	0.103	0.103	0.103	0.103				
